,car,starting_price,combined_mpg,expert_rating,consumer_rating
467,Certified 2015 Subaru Outback SUV,"$14,400",28 MPG,4.4 ,4.5 
468,Certified 2017 MAZDA MAZDA6 Sedan,"$14,564",28 MPG,4.4 ,4.8 
469,Certified 2016 Acura ILX Sedan,"$14,649",29 MPG,4.4 ,4.4 
470,Certified 2018 MAZDA MAZDA3 Sedan,"$14,668",31 MPG,4.4 ,4.7 
471,Certified 2017 Nissan Rogue SUV,"$15,368",27 MPG,4.4 ,4.3 
472,Certified 2018 Hyundai Sonata Sedan,"$15,502",29 MPG,4.4 ,4.5 
473,Certified 2017 Subaru Impreza Wagon,"$15,882",32 MPG,4.4 ,4.1 
474,Certified 2019 Volkswagen Jetta Sedan,"$16,133",34 MPG,4.4 ,4.5 
475,Certified 2018 Kia Optima Sedan,"$16,229",28 MPG,4.4 ,4.3 
476,Certified 2019 Hyundai Veloster Coupe,"$16,263",28 MPG,4.4 ,5 
477,Certified 2016 Acura TLX Sedan,"$16,772",28 MPG,4.4 ,4.3 
478,Certified 2018 Kia Sportage SUV,"$16,816",23 MPG,4.4 ,4.7 
479,Certified 2015 GMC Canyon Crew Cab Pickup,"$16,832",21 MPG,4.4 ,4.6 
480,Certified 2017 Acura ILX Sedan,"$16,895",29 MPG,4.4 ,4.4 
481,Certified 2017 Kia Sedona Van/Minivan,"$16,963",20 MPG,4.4 ,4.3 
482,Certified 2016 Subaru Outback SUV,"$17,000",28 MPG,4.4 ,4.5 
483,Certified 2018 Chevrolet Equinox SUV,"$17,226",28 MPG,4.4 ,4.1 
484,Certified 2018 Kia Niro Wagon,"$17,300",50 MPG,4.4 ,4.8 
485,Certified 2018 MAZDA MAZDA6 Sedan,"$17,366",27 MPG,4.4 ,4.8 
486,Certified 2019 Kia Optima Sedan,"$17,682",27 MPG,4.4 ,4.3 
487,Certified 2018 Kia Optima Hybrid Sedan,"$17,951",42 MPG,4.4 ,4.2 
488,Certified 2018 Nissan Rogue Sport SUV,"$17,953",27 MPG,4.4 ,4.3 
489,Certified 2018 Hyundai Ioniq Hybrid Hatchback,"$18,250",58 MPG,4.4 ,4.3 
490,Certified 2017 Ram 1500 Regular Cab Pickup,"$18,833",17 MPG,4.4 ,4.6 
491,Certified 2019 Nissan Altima Sedan,"$18,904",30 MPG,4.4 ,4.5 
492,Certified 2018 Toyota C‑HR SUV,"$19,058",29 MPG,4.4 ,4.5 
493,Certified 2017 Subaru Crosstrek SUV,"$19,120",26 MPG,4.4 ,4.4 
494,Certified 2019 Hyundai Ioniq Hybrid Hatchback,"$19,250",58 MPG,4.4 ,4.3 
495,Certified 2019 Chevrolet Equinox SUV,"$19,359",27 MPG,4.4 ,4.1 
496,Certified 2018 Chevrolet Camaro Coupe,"$19,403",20 MPG,4.4 ,4.5 
497,Certified 2016 Mercedes‑Benz GLA SUV,"$19,470",29 MPG,4.4 ,4.4 
498,Certified 2016 Jeep Grand Cherokee SUV,"$19,600",21 MPG,4.4 ,4.4 
499,Used 2016 BMW X3 SUV,"$19,620",24 MPG,4.4 ,4.5 
500,Certified 2019 Kia Niro Wagon,"$19,650",50 MPG,4.4 ,4.8 
501,Certified 2019 Kia Sportage SUV,"$19,681",23 MPG,4.4 ,4.7 
502,Certified 2017 Toyota Tacoma Access Cab Pickup,"$19,800",20 MPG,4.4 ,4.3 
503,Certified 2019 Nissan Rogue Sport SUV,"$19,826",27 MPG,4.4 ,4.3 
504,Certified 2018 Chevrolet Volt Sedan,"$19,850",42 MPG | 106 MPGe,4.4 ,4.7 
505,Certified 2016 Nissan 370Z Coupe,"$20,005",21 MPG,4.4 ,4.8 
506,Certified 2018 Ram 1500 Regular Cab Pickup,"$20,121",17 MPG,4.4 ,4.6 
507,Certified 2018 Hyundai Ioniq Plug‑in Hybrid Hatchback,"$20,150",52 MPG | 119 MPGe,4.4 ,4.3 
508,Certified 2018 Toyota Tacoma Access Cab Pickup,"$20,342",20 MPG,4.4 ,4.3 
509,Certified 2019 Toyota C‑HR SUV,"$20,359",29 MPG,4.4 ,4.5 
510,Certified 2018 Subaru Forester SUV,"$20,472",24 MPG,4.4 ,4.3 
511,Certified 2019 MAZDA MAZDA6 Sedan,"$20,554",29 MPG,4.4 ,4.8 
512,Certified 2017 Lexus CT Hatchback,"$20,577",42 MPG,4.4 ,4.8 
513,Certified 2018 Toyota RAV4 SUV,"$20,656",25 MPG,4.4 ,4.4 
514,Certified 2019 Honda Insight Sedan,"$20,700",52 MPG,4.4 ,4.6 
515,Certified 2017 INFINITI QX30 SUV,"$21,129",25 MPG,4.4 ,3.8 
516,Certified 2019 GMC Terrain SUV,"$21,163",28 MPG,4.4 ,3.9 
517,Certified 2019 Kia Optima Hybrid Sedan,"$21,305",41 MPG,4.4 ,4.2 
518,Certified 2019 Acura ILX Sedan,"$21,521",28 MPG,4.4 ,4.4 
519,Certified 2018 INFINITI QX30 SUV,"$21,617",25 MPG,4.4 ,3.8 
520,Certified 2018 Kia Optima Plug‑in Hybrid Sedan,"$21,880",40 MPG | 103 MPGe,4.4 ,4.2 
521,Certified 2019 Toyota Prius Hatchback,"$21,900",52 MPG,4.4 ,4.6 
522,Certified 2018 Toyota Sienna Van/Minivan,"$21,901",22 MPG,4.4 ,4.4 
523,Certified 2019 Nissan LEAF Hatchback,"$22,050",112 MPGe,4.4 ,3.9 
524,Certified 2019 Hyundai Ioniq Plug‑in Hybrid Hatchback,"$22,150",52 MPG | 119 MPGe,4.4 ,4.3 
525,Certified 2017 Toyota Prius v Wagon,"$22,300",41 MPG,4.4 ,4.4 
526,Certified 2017 Jeep Grand Cherokee SUV,"$22,400",21 MPG,4.4 ,4.4 
527,Certified 2018 Subaru WRX Sedan,"$22,669",23 MPG,4.4 ,4.6 
528,Certified 2018 Hyundai Sonata Plug‑in Hybrid Sedan,"$22,850",39 MPG | 99 MPGe,4.4 ,4 
529,Certified 2018 Acura TLX Sedan,"$22,893",27 MPG,4.4 ,4.3 
530,Certified 2019 Volkswagen Jetta GLI Sedan,"$23,089",28 MPG,4.4 ,4.5 
531,Certified 2018 Kia Niro Plug‑in Hybrid Wagon,"$23,100",46 MPG | 105 MPGe,4.4 ,4.8 
532,Certified 2018 Hyundai Ioniq Electric Hatchback,"$23,150",136 MPGe,4.4 ,4.3 
533,Certified 2018 Kia Stinger Sedan,"$23,484",24 MPG,4.4 ,4.6 
534,Certified 2018 Toyota RAV4 Hybrid SUV,"$23,640",32 MPG,4.4 ,4.4 
535,Certified 2017 Ram 1500 Quad Cab Pickup,"$23,676",19 MPG,4.4 ,4.6 
536,Certified 2017 Ram 1500 Crew Cab Pickup,"$23,677",17 MPG,4.4 ,4.6 
537,Certified 2019 Ford F150 Regular Cab Pickup,"$24,600",18 MPG,4.4 ,4.6 
538,Certified 2018 Ram 1500 Crew Cab Pickup,"$24,606",17 MPG,4.4 ,4.6 
539,Certified 2017 Honda Ridgeline Pickup,"$24,850",21 MPG,4.4 ,4.8 
540,Used 2015 Chevrolet Suburban SUV,"$25,088",18 MPG,4.4 ,4.1 
541,Certified 2019 Kia Optima Plug‑in Hybrid Sedan,"$25,148",41 MPG | 101 MPGe,4.4 ,4.2 
542,Certified 2017 BMW X3 SUV,"$25,165",24 MPG,4.4 ,4.5 
543,Certified 2017 Audi Q5 SUV,"$25,219",22 MPG,4.4 ,4.4 
544,Certified 2019 Toyota Sienna Van/Minivan,"$25,405",22 MPG,4.4 ,4.4 
545,Certified 2019 Hyundai Ioniq Electric Hatchback,"$25,500",136 MPGe,4.4 ,4.3 
546,Certified 2018 Ram 1500 Quad Cab Pickup,"$25,689",17 MPG,4.4 ,4.6 
547,Certified 2017 Genesis G80 Sedan,"$25,742",19 MPG,4.4 ,4.7 
548,Certified 2017 Toyota Tacoma Double Cab Pickup,"$25,800",20 MPG,4.4 ,4.3 
549,Certified 2019 Chevrolet Traverse SUV,"$26,050",21 MPG,4.4 ,4.3 
550,Certified 2019 Volkswagen Atlas SUV,"$26,300",24 MPG,4.4 ,4.1 
551,Certified 2019 Kia Stinger Sedan,"$26,332",24 MPG,4.4 ,4.6 
552,Certified 2019 Chevrolet Blazer SUV,"$26,500",24 MPG,4.4 ,4.4 
553,Certified 2019 Chevrolet Silverado 1500 Regular Cab Pickup,"$26,750",17 MPG,4.4 ,3.6 
554,Certified 2018 Toyota Tacoma Double Cab Pickup,"$27,000",20 MPG,4.4 ,4.3 
555,Certified 2018 Toyota Highlander SUV,"$27,650",22 MPG,4.4 ,4.3 
556,Certified 2018 Toyota Highlander Hybrid SUV,"$27,850",29 MPG,4.4 ,4.5 
557,Certified 2019 Ram 1500 Classic Crew Cab Pickup,"$27,900",17 MPG,4.4 ,4.6 
558,Certified 2019 Ford F150 Super Cab Pickup,"$28,893",18 MPG,4.4 ,4.6 
559,Certified 2019 Chevrolet Silverado 1500 Double Cab Pickup,"$28,913",17 MPG,4.4 ,3.6 
560,Certified 2018 Lexus NX SUV,"$29,352",24 MPG,4.4 ,4.4 
561,Certified 2019 Jeep Wrangler SUV,"$30,184",20 MPG,4.4 ,4.8 
562,Certified 2019 Chevrolet Silverado 1500 Crew Cab Pickup,"$30,541",18 MPG,4.4 ,3.6 
563,Certified 2019 Toyota Highlander SUV,"$30,828",22 MPG,4.4 ,4.3 
564,Certified 2019 Ford F150 SuperCrew Cab Pickup,"$31,012",17 MPG,4.4 ,4.6 
565,Certified 2019 Cadillac XT4 SUV,"$31,406",24 MPG,4.4 ,4.9 
566,Certified 2019 Toyota Highlander Hybrid SUV,"$31,450",29 MPG,4.4 ,4.5 
567,Certified 2016 Mercedes‑Benz Mercedes‑AMG GLA SUV,"$32,248",25 MPG,4.4 ,4.4 
568,Certified 2019 INFINITI QX50 SUV,"$32,250",26 MPG,4.4 ,4.4 
569,Certified 2019 Jeep Wrangler Unlimited SUV,"$32,400",19 MPG,4.4 ,4.8 
570,Certified 2017 GMC Yukon XL SUV,"$33,900",18 MPG,4.4 ,3.9 
571,Certified 2017 Volvo V90 Wagon,"$34,207",25 MPG,4.4 ,4.8 
572,Certified 2019 Lexus NX SUV,"$34,461",24 MPG,4.4 ,4.4 
573,Certified 2016 Land Rover Range Rover Sport SUV,"$35,000",19 MPG,4.4 ,4.4 
574,Certified 2017 GMC Yukon SUV,"$35,914",18 MPG,4.4 ,3.9 
575,Certified 2018 Volvo XC60 SUV,"$36,063",24 MPG,4.4 ,3.7 
576,Certified 2018 BMW X3 SUV,"$36,362",25 MPG,4.4 ,4.1 
577,Certified 2019 Genesis G80 Sedan,"$36,500",20 MPG,4.4 ,4.7 
578,Certified 2018 Lexus GS Sedan,"$36,738",26 MPG,4.4 ,4.7 
579,Certified 2017 Audi SQ5 SUV,"$37,049",19 MPG,4.4 ,4.7 
580,Certified 2019 BMW X3 SUV,"$37,951",26 MPG,4.4 ,4.1 
581,Certified 2018 GMC Yukon SUV,"$39,625",18 MPG,4.4 ,3.9 
582,Certified 2018 GMC Yukon XL SUV,"$40,150",18 MPG,4.4 ,3.9 
583,Certified 2017 Land Rover Range Rover Sport SUV,"$41,300",19 MPG,4.4 ,4.4 
584,Certified 2016 Mercedes‑Benz GLE Coupe SUV,"$42,700",20 MPG,4.4 ,4.6 
585,Certified 2018 Jaguar F‑TYPE Coupe,"$43,413",26 MPG,4.4 ,4.9 
586,Certified 2019 Lexus GS Sedan,"$43,550",26 MPG,4.4 ,4.7 
587,Certified 2018 BMW 6 Series Sedan,"$44,550",23 MPG,4.4 ,4.7 
588,Certified 2018 Porsche Cayenne SUV,"$45,930",20 MPG,4.4 ,4.5 
589,Certified 2017 Mercedes‑Benz Mercedes‑AMG GLE Coupe SUV,"$49,524",20 MPG,4.4 ,4.6 
590,Certified 2016 Mercedes‑Benz Mercedes‑AMG GLE Coupe SUV,"$58,850",15 MPG,4.4 ,4.6 
591,New 2020 Hyundai Accent Sedan,"$16,270",33 MPG,4.3 ,5 
592,New 2020 Kia Rio Sedan,"$16,815",36 MPG,4.3 ,5 
593,New 2020 Subaru Impreza Sedan,"$19,595",26 MPG,4.3 ,4.1 
594,New 2020 Volkswagen Tiguan SUV,"$25,965",25 MPG,4.3 ,4.6 
595,New 2020 Chevrolet Camaro Coupe,"$25,995",23 MPG,4.3 ,4.5 
596,New 2020 Ford Escape SUV,"$26,080",30 MPG,4.3 ,5 
597,New 2020 Nissan Rogue SUV,"$26,395",29 MPG,4.3 ,4.3 
598,New 2020 Toyota Tacoma Access Cab Pickup,"$27,170",21 MPG,4.3 ,4.3 
599,New 2020 Toyota Tacoma Double Cab Pickup,"$28,000",21 MPG,4.3 ,4.3 
600,New 2020 Subaru WRX Sedan,"$28,395",23 MPG,4.3 ,4.6 
601,New 2020 Kia Sedona Van/Minivan,"$28,720",21 MPG,4.3 ,4.3 
602,New 2020 Chevrolet Blazer SUV,"$29,995",23 MPG,4.3 ,4.4 
603,New 2020 Jeep Grand Cherokee SUV,"$33,540",21 MPG,4.3 ,4.4 
604,New 2020 Acura TLX Sedan,"$34,025",27 MPG,4.3 ,4.3 
605,New 2020 Chevrolet Silverado 1500 Crew Cab Pickup,"$36,195",17 MPG,4.3 ,3.6 
606,New 2020 Cadillac XT4 SUV,"$36,690",26 MPG,4.3 ,4.9 
607,New 2020 GMC Sierra 1500 Crew Cab Pickup,"$37,495",17 MPG,4.3 ,3.7 
608,New 2019 Chevrolet Sonic Sedan,"$16,295",31 MPG,4.3 ,4.3 
609,New 2019 Nissan Versa Note Hatchback,"$16,545",34 MPG,4.3 ,3.9 
610,New 2019 GMC Sierra 1500 Regular Cab Pickup,"$31,095",17 MPG,4.3 ,3.7 
611,New 2019 Kia Soul EV Wagon,"$34,945",108 MPGe,4.3 ,4.8 
612,New 2019 GMC Sierra 1500 Double Cab Pickup,"$34,995",17 MPG,4.3 ,3.7 
613,New 2019 GMC Sierra 1500 Limited Double Cab Pickup,"$36,595",17 MPG,4.3 ,3.7 
614,New 2019 Mercedes‑Benz Mercedes‑AMG GLA SUV,"$54,345",25 MPG,4.3 ,4.4 
615,New 2019 Mercedes‑Benz Mercedes‑AMG GLE Coupe SUV,"$72,345",19 MPG,4.3 ,4.6 
616,Certified 2015 Ford Focus Sedan,"$8,650",30 MPG,4.3 ,3.8 
617,Certified 2016 Kia Rio Sedan,"$9,150",31 MPG,4.3 ,4.3 
618,Used 2015 Hyundai Elantra Sedan,"$9,350",31 MPG,4.3 ,4.2 
619,Used 2015 Hyundai Elantra GT Hatchback,"$10,000",27 MPG,4.3 ,4.2 
620,Certified 2017 Kia Rio Sedan,"$10,063",30 MPG,4.3 ,4.3 
621,Certified 2016 Nissan LEAF Hatchback,"$10,635",114 MPGe,4.3 ,4.6 
622,Used 2015 Kia Optima Hybrid Sedan,"$10,789",38 MPG,4.3 ,4.8 
623,Certified 2016 Kia Forte5 Hatchback,"$11,013",28 MPG,4.3 ,4.6 
624,Used 2015 Kia Optima Sedan,"$11,058",27 MPG,4.3 ,4.7 
625,Certified 2015 Toyota Corolla Sedan,"$11,210",32 MPG,4.3 ,4.2 
626,Certified 2018 Chevrolet Sonic Sedan,"$11,538",28 MPG,4.3 ,4.3 
627,Certified 2015 Ford Fusion Sedan,"$11,557",25 MPG,4.3 ,4.5 
628,Certified 2016 Kia Forte Sedan,"$11,567",30 MPG,4.3 ,4.6 
629,Certified 2017 Chevrolet Cruze Sedan,"$11,755",32 MPG,4.3 ,4.4 
630,Certified 2018 Nissan Versa Note Hatchback,"$11,765",34 MPG,4.3 ,3.9 
631,Used 2014 Chrysler 300 Sedan,"$11,770",21 MPG,4.3 ,4.8 
632,Certified 2017 Nissan LEAF Hatchback,"$11,943",112 MPGe,4.3 ,4.6 
633,Certified 2015 Nissan Quest Van/Minivan,"$12,117",22 MPG,4.3 ,4.6 
634,Certified 2016 Toyota Corolla Sedan,"$12,411",32 MPG,4.3 ,4.2 
635,Certified 2018 Chevrolet Cruze Sedan,"$12,550",32 MPG,4.3 ,4.4 
636,Used 2015 Kia Sorento SUV,"$12,584",20 MPG,4.3 ,4.3 
637,Certified 2018 Kia Rio Sedan,"$12,627",32 MPG,4.3 ,5 
638,Certified 2015 Chevrolet Colorado Extended Cab Pickup,"$12,687",22 MPG,4.3 ,4.4 
639,Certified 2017 Kia Forte Sedan,"$13,080",28 MPG,4.3 ,4.6 
640,Certified 2016 Kia Forte Koup Coupe,"$13,261",28 MPG,4.3 ,4.6 
641,Certified 2016 Nissan Rogue SUV,"$13,551",28 MPG,4.3 ,4.3 
642,Certified 2017 Kia Forte5 Hatchback,"$13,563",28 MPG,4.3 ,4.6 
643,Certified 2015 Ford Fusion Energi Sedan,"$13,621",38 MPG | 88 MPGe,4.3 ,4.7 
644,Certified 2017 Kia Soul Wagon,"$13,638",27 MPG,4.3 ,4.5 
645,Certified 2018 Kia Soul Wagon,"$14,135",27 MPG,4.3 ,4.5 
646,Certified 2019 Kia Rio Sedan,"$14,148",32 MPG,4.3 ,5 
647,Certified 2019 Hyundai Accent Sedan,"$14,237",31 MPG,4.3 ,5 
648,Certified 2015 Nissan Pathfinder SUV,"$14,450",22 MPG,4.3 ,4 
649,Certified 2016 GMC Canyon Extended Cab Pickup,"$14,484",22 MPG,4.3 ,4.6 
650,Certified 2015 Ford Focus ST Hatchback,"$14,493",26 MPG,4.3 ,3.8 
651,Certified 2016 Chevrolet Colorado Extended Cab Pickup,"$14,500",22 MPG,4.3 ,4.4 
652,Certified 2017 MAZDA CX‑3 SUV,"$14,532",29 MPG,4.3 ,4.7 
653,Certified 2019 Kia Soul Wagon,"$14,979",27 MPG,4.3 ,4.5 
654,Certified 2016 Kia Sorento SUV,"$15,150",24 MPG,4.3 ,4.6 
655,Certified 2017 GMC Canyon Extended Cab Pickup,"$15,400",22 MPG,4.3 ,4.6 
656,Certified 2017 Kia Soul EV Wagon,"$15,500",105 MPGe,4.3 ,4.8 
657,Certified 2015 Chevrolet Silverado 1500 Regular Cab Pickup,"$15,923",18 MPG,4.3 ,4.4 
658,Certified 2016 Nissan Pathfinder SUV,"$16,000",22 MPG,4.3 ,4 
659,Certified 2017 Hyundai Tucson SUV,"$16,127",23 MPG,4.3 ,4.3 
660,Certified 2016 Chevrolet Silverado 1500 Regular Cab Pickup,"$16,380",18 MPG,4.3 ,4.4 
661,Certified 2016 Volvo S60 Sedan,"$16,649",23 MPG,4.3 ,4.6 
662,Certified 2018 MAZDA CX‑3 SUV,"$16,794",29 MPG,4.3 ,4.7 
663,Certified 2018 Subaru Impreza Wagon,"$17,016",26 MPG,4.3 ,4.1 
664,Used 2014 Acura MDX SUV,"$17,050",23 MPG,4.3 ,4.1 
665,Certified 2017 Volkswagen Golf Alltrack Wagon,"$17,072",25 MPG,4.3 ,4.9 
666,Certified 2018 Nissan Rogue SUV,"$17,151",27 MPG,4.3 ,4.3 
667,Certified 2018 Hyundai Tucson SUV,"$17,200",23 MPG,4.3 ,4.3 
668,Certified 2015 Chevrolet Colorado Crew Cab Pickup,"$17,235",20 MPG,4.3 ,4.4 
669,Used 2015 Chevrolet Silverado 1500 Double Cab Pickup,"$17,583",18 MPG,4.3 ,4.4 
670,Certified 2017 Volvo S60 Sedan,"$17,876",26 MPG,4.3 ,4.6 
671,Certified 2018 Volkswagen Tiguan SUV,"$18,108",24 MPG,4.3 ,4.6 
672,Certified 2015 Chevrolet Silverado 1500 Crew Cab Pickup,"$18,412",18 MPG,4.3 ,4.4 
673,Certified 2018 Acura ILX Sedan,"$18,576",29 MPG,4.3 ,4.4 
674,Certified 2017 Subaru Outback SUV,"$18,714",28 MPG,4.3 ,4.5 
675,Certified 2019 Subaru Impreza Sedan,"$18,772",27 MPG,4.3 ,4.1 
676,Certified 2016 Chevrolet Colorado Crew Cab Pickup,"$18,856",20 MPG,4.3 ,4.4 
677,Certified 2017 Acura TLX Sedan,"$18,868",28 MPG,4.3 ,4.3 
678,Certified 2016 GMC Canyon Crew Cab Pickup,"$19,030",21 MPG,4.3 ,4.6 
679,Certified 2016 Buick Enclave SUV,"$19,284",18 MPG,4.3 ,4.5 
680,Certified 2018 Kia Soul EV Wagon,"$19,300",108 MPGe,4.3 ,4.8 
681,Certified 2017 GMC Canyon Crew Cab Pickup,"$19,800",22 MPG,4.3 ,4.6 
682,Certified 2016 Chevrolet Silverado 1500 Double Cab Pickup,"$19,872",18 MPG,4.3 ,4.4 
683,Certified 2018 Kia Sedona Van/Minivan,"$20,414",20 MPG,4.3 ,4.3 
684,Certified 2016 Cadillac CTS Sedan,"$20,833",24 MPG,4.3 ,4.7 
685,Certified 2017 Buick Enclave SUV,"$20,946",18 MPG,4.3 ,4.5 
686,Certified 2018 Subaru Outback SUV,"$21,264",28 MPG,4.3 ,4.5 
687,Certified 2016 Chevrolet Silverado 1500 Crew Cab Pickup,"$21,311",18 MPG,4.3 ,4.4 
688,Certified 2019 Chevrolet Camaro Coupe,"$21,693",23 MPG,4.3 ,4.5 
689,Certified 2019 Nissan Rogue SUV,"$21,774",27 MPG,4.3 ,4.3 
690,Certified 2019 Volkswagen Tiguan SUV,"$21,881",24 MPG,4.3 ,4.6 
691,Certified 2016 Lexus ES Sedan,"$21,897",40 MPG,4.3 ,4.6 
692,Certified 2019 Kia Sedona Van/Minivan,"$21,919",21 MPG,4.3 ,4.3 
693,Certified 2019 Toyota Tacoma Access Cab Pickup,"$22,500",20 MPG,4.3 ,4.3 
694,Certified 2017 Nissan 370Z Coupe,"$22,754",21 MPG,4.3 ,4.8 
695,Certified 2017 Mercedes‑Benz GLA SUV,"$23,242",26 MPG,4.3 ,4.4 
696,Certified 2018 Jeep Grand Cherokee SUV,"$23,900",21 MPG,4.3 ,4.4 
697,Certified 2019 Subaru WRX Sedan,"$24,556",23 MPG,4.3 ,4.6 
698,Certified 2016 INFINITI QX60 SUV,"$24,900",22 MPG,4.3 ,4.1 
699,Certified 2018 Honda Ridgeline Pickup,"$25,100",22 MPG,4.3 ,4.8 
700,Certified 2019 Honda Ridgeline Pickup,"$25,500",22 MPG,4.3 ,4.8 
701,Certified 2017 Cadillac CTS Sedan,"$25,654",24 MPG,4.3 ,4.7 
702,Certified 2019 Acura TLX Sedan,"$25,976",27 MPG,4.3 ,4.3 
703,Certified 2018 Nissan 370Z Coupe,"$26,135",21 MPG,4.3 ,4.8 
704,Certified 2018 Mercedes‑Benz GLA SUV,"$26,923",27 MPG,4.3 ,4.4 
705,Certified 2019 Jeep Grand Cherokee SUV,"$27,300",21 MPG,4.3 ,4.4 
706,Certified 2017 Cadillac CT6 Sedan,"$28,757",25 MPG,4.3 ,3.7 
707,Certified 2018 Genesis G80 Sedan,"$29,228",20 MPG,4.3 ,4.7 
708,Certified 2019 Toyota Tacoma Double Cab Pickup,"$29,500",20 MPG,4.3 ,4.3 
709,Certified 2019 GMC Sierra 1500 Crew Cab Pickup,"$31,000",17 MPG,4.3 ,3.7 
710,Certified 2019 Mercedes‑Benz GLA SUV,"$31,578",27 MPG,4.3 ,4.4 
711,Certified 2017 Chevrolet Suburban SUV,"$32,514",18 MPG,4.3 ,4.1 
712,Certified 2016 Chevrolet SS Sedan,"$33,209",16 MPG,4.3 ,4.8 
713,Certified 2017 Audi TT Coupe,"$34,524",25 MPG,4.3 ,5 
714,Certified 2017 Mercedes‑Benz Mercedes‑AMG GLA SUV,"$35,118",25 MPG,4.3 ,4.4 
715,Certified 2016 Porsche Macan SUV,"$35,521",19 MPG,4.3 ,4.7 
716,Certified 2018 Volvo V90 Wagon,"$36,428",26 MPG,4.3 ,4.8 
717,Certified 2018 Chevrolet Suburban SUV,"$37,250",18 MPG,4.3 ,4.1 
718,Certified 2018 Audi TT Coupe,"$38,483",26 MPG,4.3 ,5 
719,Certified 2019 Volvo V90 Wagon,"$39,145",27 MPG,4.3 ,4.8 
720,Certified 2019 Volvo XC60 SUV,"$39,645",23 MPG,4.3 ,3.7 
721,Certified 2019 Chevrolet Suburban SUV,"$39,800",16 MPG,4.3 ,4.1 
722,Certified 2019 Audi TT Coupe,"$40,804",26 MPG,4.3 ,5 
723,Certified 2018 Mercedes‑Benz Mercedes‑AMG GLA SUV,"$40,900",25 MPG,4.3 ,4.4 
724,Certified 2019 GMC Yukon XL SUV,"$41,500",16 MPG,4.3 ,3.9 
725,Certified 2018 Land Rover Range Rover Velar SUV,"$43,400",23 MPG,4.3 ,4 
726,Certified 2019 GMC Yukon SUV,"$43,600",17 MPG,4.3 ,3.9 
727,Certified 2020 Chevrolet Suburban SUV,"$50,100",16 MPG,4.3 ,4.1 
728,Certified 2016 Cadillac CTS‑V Sedan,"$54,911",17 MPG,4.3 ,5 
729,Certified 2018 Land Rover Range Rover Sport SUV,"$55,100",19 MPG,4.3 ,4.4 
730,Certified 2018 Mercedes‑Benz Mercedes‑AMG GLE Coupe SUV,"$55,100",19 MPG,4.3 ,4.6 
731,Certified 2019 Land Rover Range Rover Sport SUV,"$58,000",19 MPG,4.3 ,4.4 
732,Certified 2017 Cadillac CTS‑V Sedan,"$59,466",17 MPG,4.3 ,5 
733,New 2020 Hyundai Tucson SUV,"$24,690",25 MPG,4.2 ,4.3 
734,New 2020 Nissan 370Z Coupe,"$31,015",20 MPG,4.2 ,4.8 
735,New 2020 Lincoln Corsair SUV,"$36,940",25 MPG,4.2 ,5 
736,New 2020 INFINITI QX60 SUV,"$45,375",22 MPG,4.2 ,4.1 
737,New 2020 Porsche Macan SUV,"$52,250",21 MPG,4.2 ,4.7 
738,New 2020 Land Rover Range Rover Velar SUV,"$57,325",23 MPG,4.2 ,4 
739,New 2019 Ford Fiesta Sedan,"$15,235",30 MPG,4.2 ,3.9 
740,New 2019 Chevrolet Cruze Sedan,"$18,870",33 MPG,4.2 ,4.4 
741,New 2019 GMC Canyon Extended Cab Pickup,"$22,595",22 MPG,4.2 ,4.6 
742,New 2019 Volkswagen Golf Alltrack Wagon,"$27,790",24 MPG,4.2 ,4.9 
743,New 2019 Chevrolet Silverado 1500 LD Double Cab Pickup,"$35,995",17 MPG,4.2 ,4.4 
744,New 2019 Cadillac CTS Sedan,"$47,990",25 MPG,4.2 ,4.7 
745,New 2019 Cadillac CTS‑V Sedan,"$87,990",16 MPG,4.2 ,5 
746,Certified 2015 Nissan Sentra Sedan,"$8,539",30 MPG,4.2 ,3.8 
747,Certified 2014 MAZDA MAZDA3 Sedan,"$9,018",33 MPG,4.2 ,4.7 
748,Used 2014 Nissan Altima Sedan,"$9,134",31 MPG,4.2 ,4.2 
749,Certified 2014 MAZDA MAZDA6 Sedan,"$10,256",29 MPG,4.2 ,4.8 
750,Certified 2016 Nissan Sentra Sedan,"$10,294",34 MPG,4.2 ,3.8 
751,Certified 2018 Ford Fiesta Sedan,"$10,358",30 MPG,4.2 ,3.9 
752,Certified 2016 Ford Focus Sedan,"$10,379",30 MPG,4.2 ,3.8 
753,Certified 2016 Volkswagen Jetta Sedan,"$10,689",32 MPG,4.2 ,4.4 
754,Certified 2016 Hyundai Elantra Sedan,"$10,960",31 MPG,4.2 ,4.2 
755,Certified 2016 Volkswagen Golf Hatchback,"$11,318",29 MPG,4.2 ,4.7 
756,Certified 2015 Nissan JUKE SUV,"$11,340",28 MPG,4.2 ,4.4 
757,Certified 2017 Ford Focus Sedan,"$11,407",28 MPG,4.2 ,3.8 
758,Certified 2015 Subaru Legacy Sedan,"$11,662",30 MPG,4.2 ,4.4 
759,Certified 2016 Hyundai Elantra GT Hatchback,"$12,008",27 MPG,4.2 ,4.2 
760,Certified 2016 Ford Fusion Sedan,"$12,200",42 MPG,4.2 ,4.5 
761,Certified 2016 Volkswagen Passat Sedan,"$12,255",29 MPG,4.2 ,4.5 
762,Used 2015 Jeep Renegade SUV,"$12,298",24 MPG,4.2 ,4 
763,Certified 2016 Volkswagen e‑Golf Hatchback,"$12,429",116 MPGe,4.2 ,5 
